SYMBOL,DATE1,AVG_PRICE,DELIV_QTY,DELIV_PER,CLOSE_PRICE,NO_OF_TRADES,TTL_TRD_QNTY,TURNOVER_LACS,amount
20MICRONS,27-Jun-2025,232.01,50355,48.74,229.36,2164,103324,239.72,11682863.549999999
21STCENMGM,27-Jun-2025,59.97,3600,100.00,59.97,136,3600,2.16,215892.0
360ONE,27-Jun-2025,1190.24,2125500,62.75,1195.7,101267,3387240,40316.22,2529855120.0
3IINFOLTD,27-Jun-2025,25.38,178074,53.90,25.23,1919,330389,83.85,4519518.12
3MINDIA,27-Jun-2025,28633.82,1542,53.01,28650.0,1665,2909,832.96,44153350.44
3PLAND,27-Jun-2025,51.04,4987,79.06,50.9,173,6308,3.22,254536.47999999998
5PAISA,27-Jun-2025,412.46,9911,41.54,409.75,2453,23860,98.41,4087891.0599999996
63MOONS,27-Jun-2025,1018.43,187123,40.85,1008.45,18424,458096,4665.38,190571676.89
AAATECH,27-Jun-2025,82.97,10004,65.76,82.53,670,15214,12.62,830031.88
AADHARHFC,27-Jun-2025,446.86,141939,50.57,444.2,14016,280701,1254.34,63426861.54
AARON,27-Jun-2025,364.29,7065,61.37,360.4,1269,11512,41.94,2573708.85
AARTECH,27-Jun-2025,71.65,45659,64.26,70.91,1278,71049,50.91,3271467.35
AARTIDRUGS,27-Jun-2025,449.63,92141,46.41,453.2,13384,198535,892.67,41429357.83
AARTIIND,27-Jun-2025,477.31,357942,37.30,479.15,32649,959660,4580.51,170849296.02
AARTIPHARM,27-Jun-2025,865.14,90922,54.40,859.55,12562,167121,1445.82,78660259.08
AARVI,27-Jun-2025,110.94,2351,76.13,110.8,112,3088,3.43,260819.94
AAVAS,27-Jun-2025,1978.65,174465,59.08,1986.2,21547,295316,5843.26,345205172.25
ABAN,27-Jun-2025,57.48,27589,53.09,57.26,1002,51968,29.87,1585815.72
ABB,27-Jun-2025,6099.81,104890,43.49,6069.5,37066,241168,14710.79,639809070.9000001
ABBOTINDIA,27-Jun-2025,34376.64,27356,51.56,34940.0,19416,53061,18240.59,940407363.84
ABCAPITAL,27-Jun-2025,271.21,2078036,37.84,269.33,57900,5491582,14893.82,563584143.56
ABDL,27-Jun-2025,428.66,133301,60.51,425.0,9067,220314,944.4,57140806.660000004
ABFRL,27-Jun-2025,74.75,5231535,53.90,74.7,29811,9705451,7254.55,391057241.25
ABGSEC,27-Jun-2025,109.64,1275,83.28,109.51,15,1531,1.68,139791.0
ABMINTLLTD,27-Jun-2025,67.57,6028,53.42,67.58,51,11285,7.63,407311.95999999996
ABREL,27-Jun-2025,2389.86,259169,74.51,2397.6,15283,347815,8312.29,619377626.34
ABSLAMC,27-Jun-2025,770.96,242178,61.73,763.95,30606,392305,3024.5,186709550.88
ABSLBANETF,27-Jun-2025,58.47,307473,90.85,58.37,389,338450,197.88,17977946.31
ABSLLIQUID,27-Jun-2025,1000.0,2530,57.66,999.99,21,4388,43.88,2530000.0
ABSLNN50ET,27-Jun-2025,71.81,38366,51.88,71.44,319,73945,53.1,2755062.46
ABSLPSE,27-Jun-2025,10.24,2343903,92.87,10.24,583,2523885,258.53,24001566.72
ACC,27-Jun-2025,1919.88,435347,49.74,1920.2,44684,875256,16803.89,835813998.36
ACCELYA,27-Jun-2025,1424.54,3288,49.01,1421.5,1590,6709,95.57,4683887.52
ACCURACY,27-Jun-2025,8.76,119592,70.47,8.75,806,169697,14.87,1047625.9199999999
ACE,27-Jun-2025,1220.75,58190,44.14,1211.7,16575,131833,1609.35,71035442.5
ACEINTEG,27-Jun-2025,28.0,40299,47.92,27.39,918,84101,23.55,1128372.0
ACI,27-Jun-2025,629.18,26558,41.01,628.65,4801,64758,407.44,16709762.44
ACL,27-Jun-2025,67.08,6469,59.93,67.15,374,10795,7.24,433940.51999999996
ACLGATI,27-Jun-2025,68.16,66287,45.49,67.74,1828,145726,99.33,4518121.92
ACMESOLAR,27-Jun-2025,248.67,219340,43.75,249.15,13604,501356,1246.71,54543277.8
ACUTAAS,27-Jun-2025,1128.68,228092,55.07,1141.4,31014,414164,4674.58,257442878.56
ADANIENSOL,27-Jun-2025,888.93,864576,27.73,883.7,76086,3118143,27718.02,768547543.68
ADANIENT,27-Jun-2025,2642.47,1508304,37.25,2646.3,121691,4049316,107001.8,3985648070.8799996
ADANIGREEN,27-Jun-2025,1025.68,1463805,24.22,1015.6,119138,6044564,61997.77,1501395512.4
ADANIPORTS,27-Jun-2025,1444.84,1284334,44.47,1440.2,107236,2888390,41732.69,1855657136.56
ADANIPOWER,27-Jun-2025,594.35,3572475,22.84,584.35,198697,15644091,92980.71,2123300516.25
ADFFOODS,27-Jun-2025,280.25,40805,26.39,276.17,9468,154609,433.29,11435601.25
ADOR,27-Jun-2025,1019.13,5068,64.05,1023.6,1049,7912,80.63,5164950.84
ADROITINFO,27-Jun-2025,10.99,30298,75.52,10.91,333,40121,4.41,332975.02
ADSL,27-Jun-2025,184.98,66485,45.76,183.32,3423,145294,268.77,12298395.299999999
ADVANIHOTR,27-Jun-2025,61.1,19766,67.64,60.8,848,29223,17.86,1207702.6
ADVENZYMES,27-Jun-2025,332.76,82632,34.98,329.75,7798,236205,786.0,27496624.32
AEGISLOG,27-Jun-2025,804.06,1094597,48.19,781.15,66240,2271542,18264.65,880121663.8199999
AEGISVOPAK,27-Jun-2025,255.15,985912,75.43,254.8,15619,1307013,3334.79,251555446.8
AEROENTER,27-Jun-2025,98.86,345037,48.28,99.43,5310,714670,706.51,34110357.82
AEROFLEX,27-Jun-2025,208.42,1432385,17.47,209.6,69314,8201320,17092.97,298537681.7
AETHER,27-Jun-2025,766.72,41349,62.50,765.7,4902,66159,507.26,31703105.28
AFCONS,27-Jun-2025,442.73,596094,64.45,442.4,23077,924845,4094.6,263908696.62
AFFLE,27-Jun-2025,1997.11,222728,46.54,1984.1,33866,478557,9557.33,444812316.08
AFFORDABLE,27-Jun-2025,451.06,5635,51.52,449.95,960,10938,49.34,2541723.1
AFIL,27-Jun-2025,7.17,2344511,62.64,7.29,3048,3743120,268.5,16810143.87
AFSL,27-Jun-2025,247.91,34956,70.86,247.3,1659,49334,122.3,8665941.959999999
AGARIND,27-Jun-2025,984.96,13251,57.43,985.35,1356,23075,227.28,13051704.96
AGARWALEYE,27-Jun-2025,394.13,164079,42.25,397.7,15502,388357,1530.64,64668456.269999996
AGI,27-Jun-2025,810.96,23957,50.53,805.45,5447,47410,384.48,19428168.720000003
AGIIL,27-Jun-2025,994.78,39541,42.06,992.7,7147,94012,935.21,39334595.98
AGRITECH,27-Jun-2025,157.33,4326,52.82,156.67,467,8190,12.89,680609.5800000001
AGROPHOS,27-Jun-2025,36.15,19603,61.07,36.14,462,32097,11.6,708648.45
AHLADA,27-Jun-2025,68.63,8336,56.85,68.82,448,14664,10.06,572099.6799999999
AHLEAST,27-Jun-2025,146.0,9739,82.74,145.49,321,11771,17.19,1421894.0
AHLUCONT,27-Jun-2025,981.82,58814,19.33,986.75,15660,304275,2987.42,57744761.480000004
AIAENG,27-Jun-2025,3335.65,11246,60.06,3332.1,7130,18726,624.63,37512719.9
AIIL,27-Jun-2025,2645.27,29417,39.04,2620.5,10654,75347,1993.13,77815907.59
AIRAN,27-Jun-2025,30.21,70240,61.09,29.95,1060,114986,34.74,2121950.4
AIROLAM,27-Jun-2025,114.46,2736,34.29,115.13,321,7979,9.13,313162.56
AJANTPHARM,27-Jun-2025,2539.95,216928,68.08,2520.7,39975,318634,8093.13,550986273.5999999
