SYMBOL,AVG_DELIV_PER,MAX_DELIV_QTY,MAX_AMOUNT,AVG_TTL_QTY,LAST_CLOSE,LAST_DATE,BUY_CANDIDATE
CASHIETF,86.63791666666667,3062062,3103154872.04,406301.2083333333,1016.91,2025-06-27,True
LIQUIDBETF,86.3075,897409,930056739.4200001,286309.1666666667,1036.82,2025-06-27,False
UTINIFTETF,83.86874999999999,11206142,3070370846.58,1656823.4583333333,280.08,2025-06-27,True
LIQUIDBEES,81.31875000000001,7232392,7232464323.92,3485690.5416666665,1000.0,2025-06-27,True
LIQUIDCASE,78.45916666666666,10833309,1182022344.99,8602366.791666666,109.25,2025-06-27,True
LIQUIDADD,75.85041666666667,1294017,1391107095.51,682844.0,1079.15,2025-06-27,False
SETFNIF50,72.49458333333332,4313541,1143476583.6899998,1299412.875,272.38,2025-06-27,True
BHARTIARTL,71.41666666666667,13423748,24918906124.84,7125933.208333333,2027.1,2025-06-27,True
ICICIBANK,71.20833333333333,18874040,27510045742.399998,10099447.916666666,1462.2,2025-06-27,True
HDFCBANK,69.55,17082370,34356233367.7,10611552.958333334,2014.9,2025-06-27,True
GVT&D,69.30458333333333,1079356,2433839844.4,472459.1666666667,2335.8,2025-06-27,False
LIQUIDIETF,68.99125,3644345,3644345000.0,1043273.0416666666,999.99,2025-06-27,True
GODREJCP,68.78375,2903607,3452795227.9800005,1374920.7083333333,1176.4,2025-06-27,True
KOTAKBANK,68.49958333333333,7780937,17140159261.080002,4357855.75,2207.9,2025-06-27,True
HINDUNILVR,68.0625,2789724,6554874996.6,1799028.3333333333,2306.9,2025-06-27,True
MARICO,67.74416666666666,3098989,2266290655.7,2031947.5,731.65,2025-06-27,True
AXISBANK,67.74374999999999,9756041,11546664765.14,6389189.041666667,1225.1,2025-06-27,True
ITC,67.70791666666666,21772343,9098008969.41,14184864.875,418.65,2025-06-27,True
NTPC,67.32833333333333,56206300,18308640162.0,19340580.791666668,338.3,2025-06-27,True
POWERGRID,66.86749999999999,25930974,7587662302.14,13287557.666666666,299.25,2025-06-27,True
ICICIGI,66.82583333333334,1472085,2828494344.75,1019350.5416666666,2017.1,2025-06-27,True
SBILIFE,65.47083333333333,5297415,9795344128.199999,1389657.5416666667,1850.6,2025-06-27,True
TCS,65.22583333333334,2532800,8798440640.0,2535931.5,3441.1,2025-06-27,True
MFSL,65.13083333333334,4971865,8155897064.650001,1258271.5,1641.1,2025-06-27,True
APOLLOHOSP,64.85916666666667,684934,4732887090.66,460838.0,7308.5,2025-06-27,False
SUNPHARMA,63.91708333333333,4448718,7489105342.740001,2489694.0,1687.6,2025-06-27,True
HYUNDAI,63.665,7835096,15665490942.400002,2029963.2916666667,2191.6,2025-06-27,True
SRF,63.336666666666666,1806863,5720546326.63,741789.375,3174.8,2025-06-27,True
INFY,62.31458333333333,9205070,14388076714.199999,7165640.291666667,1608.0,2025-06-27,True
RELIANCE,61.46625,22729686,33246257118.48,11371331.708333334,1515.4,2025-06-27,True
